epoch,train_accuracy,val_accuracy,train_loss,val_loss,train_top5_accuracy,val_top5_accuracy
1,0.21291111409664154,0.30160000920295715,2.1571877002716064,1.8907077312469482,0.7203555703163147,0.8312000632286072
2,0.26251110434532166,0.33480000495910645,2.056964635848999,1.794310450553894,0.7902222275733948,0.8532000184059143
3,0.2908889055252075,0.3548000156879425,2.007575273513794,1.7469403743743896,0.8077333569526672,0.8700000643730164
4,0.3214888870716095,0.39160001277923584,1.9525574445724487,1.6434301137924194,0.8342000246047974,0.8928000330924988
5,0.35313335061073303,0.4554000198841095,1.8954960107803345,1.5158640146255493,0.8499333262443542,0.9038000702857971
6,0.38031110167503357,0.4896000325679779,1.8434733152389526,1.4469398260116577,0.8672444820404053,0.9186000227928162
7,0.4079333245754242,0.511400043964386,1.7961833477020264,1.3842402696609497,0.8793555498123169,0.9264000654220581
8,0.4253111183643341,0.5216000080108643,1.7518192529678345,1.3183411359786987,0.8865777850151062,0.9394000172615051
9,0.435533344745636,0.5324000120162964,1.7460365295410156,1.3005259037017822,0.8879333138465881,0.9452000260353088
10,0.45657777786254883,0.5574000477790833,1.6936607360839844,1.2755218744277954,0.9057999849319458,0.9506000280380249
11,0.4585333466529846,0.5532000064849854,1.7032500505447388,1.249130368232727,0.9007555842399597,0.9466000199317932
12,0.4642222225666046,0.5644000172615051,1.686946153640747,1.2220972776412964,0.90420001745224,0.9524000287055969
13,0.4716222286224365,0.5654000043869019,1.6777064800262451,1.2083678245544434,0.9083999991416931,0.9568000435829163
14,0.4689333438873291,0.5530000329017639,1.6790319681167603,1.2700252532958984,0.9048444628715515,0.9534000158309937
15,0.4816000163555145,0.58160001039505,1.6485264301300049,1.1626946926116943,0.910111129283905,0.9540000557899475
16,0.49657776951789856,0.5938000082969666,1.617380976676941,1.1564656496047974,0.9154000282287598,0.9612000584602356
17,0.4957333505153656,0.5922000408172607,1.6171600818634033,1.1838387250900269,0.9172444343566895,0.9558000564575195
18,0.4857777953147888,0.5624000430107117,1.6413992643356323,1.2301089763641357,0.9136444330215454,0.9500000476837158
