trial,val_accuracy,val_top5_accuracy,elapsed_seconds,is_best
0,0.6570000052452087,0.9708000421524048,2523.5488855838776,0
1,0.6562000513076782,0.9342000484466553,2442.228768348694,0
2,0.49820002913475037,0.9258000254631042,1827.6562275886536,0
3,0.7344000339508057,0.9672000408172607,2576.734847307205,1
4,0.6456000208854675,0.9612000584602356,2532.2871475219727,0
5,0.7074000239372253,0.9650000333786011,2550.907830476761,0
6,0.71260005235672,0.9748000502586365,2548.5919754505157,0
7,0.6630000472068787,0.9282000660896301,2392.8041570186615,0
8,0.6840000152587891,0.9534000158309937,2584.6766300201416,0
9,0.6916000247001648,0.963200032711029,2543.8539440631866,0
10,0.7038000226020813,0.9616000652313232,2551.468490600586,0
11,0.7160000205039978,0.9784000515937805,2541.9611496925354,0
12,0.6778000593185425,0.9432000517845154,2553.1073982715607,0
13,0.6864000558853149,0.9490000605583191,2540.3475885391235,0
14,0.6586000323295593,0.9462000727653503,2436.89906334877,0
15,0.4820000231266022,0.9170000553131104,2071.526174068451,0
16,0.4480000138282776,0.9224000573158264,2024.2077705860138,0
17,0.6862000226974487,0.9716000556945801,2386.298015832901,0
18,0.6394000053405762,0.9296000599861145,2432.216779232025,0
19,0.7236000299453735,0.9682000279426575,2553.7197501659393,0
20,0.6672000288963318,0.9466000199317932,2428.6509766578674,0
21,0.6290000081062317,0.8972000479698181,2494.2175748348236,0
22,0.7326000332832336,0.964400053024292,2426.825258731842,0
23,0.7300000190734863,0.9722000360488892,2395.6173841953278,0
24,0.6390000581741333,0.9242000579833984,2557.945398569107,0
25,0.7150000333786011,0.9704000353813171,2568.6754517555237,0
26,0.6790000200271606,0.9622000455856323,2589.0274851322174,0
27,0.7040000557899475,0.9690000414848328,2418.7246568202972,0
28,0.6956000328063965,0.9602000713348389,2400.282701253891,0
29,0.6736000180244446,0.9656000733375549,2505.4593720436096,0
30,0.7174000144004822,0.960800051689148,2547.3466572761536,0
31,0.6808000206947327,0.9664000272750854,2430.0118470191956,0
32,0.6922000050544739,0.9666000604629517,2389.1911799907684,0
33,0.7344000339508057,0.9574000239372253,2540.766983985901,0
34,0.711400032043457,0.9600000381469727,2544.97785449028,0
35,0.7046000361442566,0.961400032043457,2588.5727972984314,0
36,0.6586000323295593,0.9416000247001648,2394.394799232483,0
37,0.7036000490188599,0.9694000482559204,2584.3617475032806,0
38,0.40140002965927124,0.8958000540733337,1951.3244342803955,0
39,0.7230000495910645,0.96260005235672,2580.2908685207367,0
40,0.6802000403404236,0.9552000164985657,2575.4700422286987,0
41,0.6984000205993652,0.9610000252723694,2599.136698484421,0
42,0.5962000489234924,0.9562000632286072,2590.5502490997314,0
43,0.7300000190734863,0.9724000692367554,2538.071278810501,0
44,0.6712000370025635,0.9394000172615051,2385.2935271263123,0
45,0.49500003457069397,0.9218000173568726,2552.9848165512085,0
46,0.6410000324249268,0.9262000322341919,2397.109936237335,0
47,0.7064000368118286,0.9660000205039978,2591.4632217884064,0
