trial,val_accuracy,val_top5_accuracy,elapsed_seconds,is_best
0,0.4394000172615051,0.7382000088691711,2097.9699923992157,0
1,0.5622000098228455,0.8424000144004822,2198.4226665496826,0
2,0.5636000037193298,0.8326000571250916,2219.824452638626,0
3,0.5782000422477722,0.8436000347137451,2191.524164199829,0
4,0.5558000206947327,0.8388000130653381,2026.7974529266357,0
5,0.5338000059127808,0.8152000308036804,2016.945034980774,0
6,0.5504000186920166,0.8348000645637512,2076.4094519615173,0
7,0.5044000148773193,0.7944000363349915,2033.708325624466,0
8,0.5692000389099121,0.8420000672340393,1967.9633073806763,0
9,0.563800036907196,0.8446000218391418,2034.2202541828156,0
10,0.5112000107765198,0.803600013256073,2060.180827140808,0
11,0.5902000069618225,0.8612000346183777,1930.6709034442902,1
12,0.4394000172615051,0.7448000311851501,1953.001116514206,0
13,0.5332000255584717,0.8176000118255615,1960.1309866905212,0
14,0.5682000517845154,0.8344000577926636,2024.0965087413788,0
15,0.5796000361442566,0.8456000685691833,1964.768664598465,0
16,0.5870000123977661,0.8454000353813171,2024.390808582306,0
17,0.5302000045776367,0.8148000240325928,2062.0086753368378,0
18,0.5778000354766846,0.8456000685691833,2017.694467306137,0
19,0.527999997138977,0.80840003490448,1957.9107208251953,0
20,0.5730000138282776,0.841200053691864,2059.9367582798004,0
21,0.5454000234603882,0.8276000618934631,2032.9819371700287,0
22,0.5408000349998474,0.8226000666618347,1910.891527891159,0
23,0.5722000002861023,0.8408000469207764,2070.2791192531586,0
